Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,UK Independence Party (UKIP),PP85,7497
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,Labour Party,PP53,16586
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,Conservative Party,PP52,23837
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,Liberal Democrats,PP90,2828
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,Green Party,PP63,1485
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,Trade Unionist and Socialist Coalition,PP804,115
2015-05-07,"Gloucester",E14000712,http://statistics.data.gov.uk/doc/statistical-geography/E14000712,Official Monster Raving Loony Party,PP66,227
