Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,The Liberal Party,PP54,639,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,Green Party,PP63,1218,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,Labour Party,PP53,16759,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,Liberal Democrats,PP90,1774,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,Independent,,516,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,UK Independence Party (UKIP),PP85,7485,
2015-05-07,Peterborough,E14000878,http://statistics.data.gov.uk/doc/statistical-geography/E14000878,Conservative Party,PP52,18684,
