Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Bristol North West",E14000600,http://statistics.data.gov.uk/doc/statistical-geography/E14000600,Liberal Democrats,PP90,3214
2015-05-07,"Bristol North West",E14000600,http://statistics.data.gov.uk/doc/statistical-geography/E14000600,UK Independence Party (UKIP),PP85,4889
2015-05-07,"Bristol North West",E14000600,http://statistics.data.gov.uk/doc/statistical-geography/E14000600,Labour Party,PP53,17823
2015-05-07,"Bristol North West",E14000600,http://statistics.data.gov.uk/doc/statistical-geography/E14000600,Trade Unionist and Socialist Coalition,PP804,160
2015-05-07,"Bristol North West",E14000600,http://statistics.data.gov.uk/doc/statistical-geography/E14000600,Conservative Party,PP52,22767
2015-05-07,"Bristol North West",E14000600,http://statistics.data.gov.uk/doc/statistical-geography/E14000600,Green Party,PP63,2952
