Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Shipley",E14000925,http://statistics.data.gov.uk/doc/statistical-geography/E14000925,Labour Party,PP53,15645,
2015-05-07,"Shipley",E14000925,http://statistics.data.gov.uk/doc/statistical-geography/E14000925,Conservative Party,PP52,25269,
2015-05-07,"Shipley",E14000925,http://statistics.data.gov.uk/doc/statistical-geography/E14000925,Yorkshire First,PP2120,543,
2015-05-07,"Shipley",E14000925,http://statistics.data.gov.uk/doc/statistical-geography/E14000925,UK Independence Party (UKIP),PP85,4479,
2015-05-07,"Shipley",E14000925,http://statistics.data.gov.uk/doc/statistical-geography/E14000925,Liberal Democrats,PP90,1949,
2015-05-07,"Shipley",E14000925,http://statistics.data.gov.uk/doc/statistical-geography/E14000925,Green Party,PP63,2657,
