Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Aldridge-Brownhills",E14000531,http://statistics.data.gov.uk/doc/statistical-geography/E14000531,Official Monster Raving Loony Party,PP66
2015-05-07,"Aldridge-Brownhills",E14000531,http://statistics.data.gov.uk/doc/statistical-geography/E14000531,Green Party,PP63
2015-05-07,"Aldridge-Brownhills",E14000531,http://statistics.data.gov.uk/doc/statistical-geography/E14000531,Labour Party,PP53
2015-05-07,"Aldridge-Brownhills",E14000531,http://statistics.data.gov.uk/doc/statistical-geography/E14000531,Liberal Democrats,PP90
2015-05-07,"Aldridge-Brownhills",E14000531,http://statistics.data.gov.uk/doc/statistical-geography/E14000531,Conservative Party,PP52
2015-05-07,"Aldridge-Brownhills",E14000531,http://statistics.data.gov.uk/doc/statistical-geography/E14000531,UK Independence Party (UKIP),PP85
