Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,Conservative and Unionist Party,PP51,318
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,Sinn Féin,PP39,12186
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,Ulster Unionist Party,PP83,3964
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,UK Independence Party (UK I P),PP84,3044
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,SDLP (Social Democratic & Labour Party),PP55,18077
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,Alliance - Alliance Party of Northern Ireland,PP103,1622
2015-05-07,South Down,N06000015,http://statistics.data.gov.uk/doc/statistical-geography/N06000015,Democratic Unionist Party - D.U.P.,PP70,3486
