Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,"Gosport",E14000713,http://statistics.data.gov.uk/doc/statistical-geography/E14000713,Green Party,PP63,
2015-05-07,"Gosport",E14000713,http://statistics.data.gov.uk/doc/statistical-geography/E14000713,Conservative Party,PP52,
2015-05-07,"Gosport",E14000713,http://statistics.data.gov.uk/doc/statistical-geography/E14000713,Labour Party,PP53,
2015-05-07,"Gosport",E14000713,http://statistics.data.gov.uk/doc/statistical-geography/E14000713,Liberal Democrats,PP90,
2015-05-07,"Gosport",E14000713,http://statistics.data.gov.uk/doc/statistical-geography/E14000713,Independent,,
2015-05-07,"Gosport",E14000713,http://statistics.data.gov.uk/doc/statistical-geography/E14000713,UK Independence Party (UKIP),PP85,
