Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,Southend West,E14000957,http://statistics.data.gov.uk/doc/statistical-geography/E14000957,Conservative Party,PP52,22175,
2015-05-07,Southend West,E14000957,http://statistics.data.gov.uk/doc/statistical-geography/E14000957,Liberal Democrats,PP90,4129,
2015-05-07,Southend West,E14000957,http://statistics.data.gov.uk/doc/statistical-geography/E14000957,Green Party,PP63,2083,
2015-05-07,Southend West,E14000957,http://statistics.data.gov.uk/doc/statistical-geography/E14000957,English Democrats,PP17,165,
2015-05-07,Southend West,E14000957,http://statistics.data.gov.uk/doc/statistical-geography/E14000957,UK Independence Party (UKIP),PP85,7803,
2015-05-07,Southend West,E14000957,http://statistics.data.gov.uk/doc/statistical-geography/E14000957,Labour Party,PP53,8154,
