Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Totnes",E14001001,http://statistics.data.gov.uk/doc/statistical-geography/E14001001,Liberal Democrats,PP90,4667,
2015-05-07,"Totnes",E14001001,http://statistics.data.gov.uk/doc/statistical-geography/E14001001,Green Party,PP63,4845,
2015-05-07,"Totnes",E14001001,http://statistics.data.gov.uk/doc/statistical-geography/E14001001,UK Independence Party (UKIP),PP85,6656,
2015-05-07,"Totnes",E14001001,http://statistics.data.gov.uk/doc/statistical-geography/E14001001,Labour Party,PP53,5988,
2015-05-07,"Totnes",E14001001,http://statistics.data.gov.uk/doc/statistical-geography/E14001001,Conservative Party,PP52,24941,
