Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,Basildon and Billericay,E14000544,http://statistics.data.gov.uk/doc/statistical-geography/E14000544,Conservative Party,PP52,22668,
2015-05-07,Basildon and Billericay,E14000544,http://statistics.data.gov.uk/doc/statistical-geography/E14000544,Labour Party,PP53,10186,
2015-05-07,Basildon and Billericay,E14000544,http://statistics.data.gov.uk/doc/statistical-geography/E14000544,UK Independence Party (UKIP),PP85,8538,
2015-05-07,Basildon and Billericay,E14000544,http://statistics.data.gov.uk/doc/statistical-geography/E14000544,Liberal Democrats,PP90,1636,
