Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Harborough",E14000728,http://statistics.data.gov.uk/doc/statistical-geography/E14000728,Conservative Party,PP52,27675,
2015-05-07,"Harborough",E14000728,http://statistics.data.gov.uk/doc/statistical-geography/E14000728,Liberal Democrats,PP90,7037,
2015-05-07,"Harborough",E14000728,http://statistics.data.gov.uk/doc/statistical-geography/E14000728,UK Independence Party (UKIP),PP85,7539,
2015-05-07,"Harborough",E14000728,http://statistics.data.gov.uk/doc/statistical-geography/E14000728,Labour Party,PP53,8043,
2015-05-07,"Harborough",E14000728,http://statistics.data.gov.uk/doc/statistical-geography/E14000728,Green Party,PP63,2177,
