Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,Arfon,W07000057,http://statistics.data.gov.uk/doc/statistical-geography/W07000057,Conservative Party,PP52,3521
2015-05-07,Arfon,W07000057,http://statistics.data.gov.uk/doc/statistical-geography/W07000057,Socialist Labour Party,PP73,409
2015-05-07,Arfon,W07000057,http://statistics.data.gov.uk/doc/statistical-geography/W07000057,Labour Party,PP53,8122
2015-05-07,Arfon,W07000057,http://statistics.data.gov.uk/doc/statistical-geography/W07000057,Liberal Democrats,PP90,718
2015-05-07,Arfon,W07000057,http://statistics.data.gov.uk/doc/statistical-geography/W07000057,UK Independence Party (UKIP),PP85,2277
2015-05-07,Arfon,W07000057,http://statistics.data.gov.uk/doc/statistical-geography/W07000057,Plaid Cymru - The Party of Wales,PP77,11790
