Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"North Herefordshire",E14000847,http://statistics.data.gov.uk/doc/statistical-geography/E14000847,Green Party,PP63,3341
2015-05-07,"North Herefordshire",E14000847,http://statistics.data.gov.uk/doc/statistical-geography/E14000847,Liberal Democrats,PP90,5768
2015-05-07,"North Herefordshire",E14000847,http://statistics.data.gov.uk/doc/statistical-geography/E14000847,UK Independence Party (UKIP),PP85,6720
2015-05-07,"North Herefordshire",E14000847,http://statistics.data.gov.uk/doc/statistical-geography/E14000847,Labour Party,PP53,5478
2015-05-07,"North Herefordshire",E14000847,http://statistics.data.gov.uk/doc/statistical-geography/E14000847,Conservative Party,PP52,26716
