Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,Aberdeen North,S14000001,http://statistics.data.gov.uk/doc/statistical-geography/S14000001,Labour and Co-operative Party,,11397,
2015-05-07,Aberdeen North,S14000001,http://statistics.data.gov.uk/doc/statistical-geography/S14000001,Scottish National Party (SNP),PP102,24793,
2015-05-07,Aberdeen North,S14000001,http://statistics.data.gov.uk/doc/statistical-geography/S14000001,Liberal Democrats,PP90,2050,
2015-05-07,Aberdeen North,S14000001,http://statistics.data.gov.uk/doc/statistical-geography/S14000001,Trade Unionist and Socialist Coalition,PP804,206,
2015-05-07,Aberdeen North,S14000001,http://statistics.data.gov.uk/doc/statistical-geography/S14000001,Conservative Party,PP52,5304,
2015-05-07,Aberdeen North,S14000001,http://statistics.data.gov.uk/doc/statistical-geography/S14000001,National Front,PP2707,186,
