Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"St Helens North",E14000962,http://statistics.data.gov.uk/doc/statistical-geography/E14000962,Liberal Democrats,PP90,2046
2015-05-07,"St Helens North",E14000962,http://statistics.data.gov.uk/doc/statistical-geography/E14000962,Labour Party,PP53,26378
2015-05-07,"St Helens North",E14000962,http://statistics.data.gov.uk/doc/statistical-geography/E14000962,Conservative Party,PP52,9087
2015-05-07,"St Helens North",E14000962,http://statistics.data.gov.uk/doc/statistical-geography/E14000962,UK Independence Party (UKIP),PP85,6983
2015-05-07,"St Helens North",E14000962,http://statistics.data.gov.uk/doc/statistical-geography/E14000962,Green Party,PP63,1762
