Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Norwich North",E14000863,http://statistics.data.gov.uk/doc/statistical-geography/E14000863,Labour Party,PP53,14589
2015-05-07,"Norwich North",E14000863,http://statistics.data.gov.uk/doc/statistical-geography/E14000863,Independent,,132
2015-05-07,"Norwich North",E14000863,http://statistics.data.gov.uk/doc/statistical-geography/E14000863,Green Party,PP63,1939
2015-05-07,"Norwich North",E14000863,http://statistics.data.gov.uk/doc/statistical-geography/E14000863,Conservative Party,PP52,19052
2015-05-07,"Norwich North",E14000863,http://statistics.data.gov.uk/doc/statistical-geography/E14000863,UK Independence Party (UKIP),PP85,5986
2015-05-07,"Norwich North",E14000863,http://statistics.data.gov.uk/doc/statistical-geography/E14000863,Liberal Democrats,PP90,1894
