Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Wansbeck",E14001014,http://statistics.data.gov.uk/doc/statistical-geography/E14001014,Conservative Party,PP52,8386
2015-05-07,"Wansbeck",E14001014,http://statistics.data.gov.uk/doc/statistical-geography/E14001014,Liberal Democrats,PP90,2407
2015-05-07,"Wansbeck",E14001014,http://statistics.data.gov.uk/doc/statistical-geography/E14001014,Green Party,PP63,1454
2015-05-07,"Wansbeck",E14001014,http://statistics.data.gov.uk/doc/statistical-geography/E14001014,UK Independence Party (UKIP),PP85,7014
2015-05-07,"Wansbeck",E14001014,http://statistics.data.gov.uk/doc/statistical-geography/E14001014,Labour Party,PP53,19267
