Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,Burton,E14000610,http://statistics.data.gov.uk/doc/statistical-geography/E14000610,UK Independence Party (UKIP),PP85,8658,
2015-05-07,Burton,E14000610,http://statistics.data.gov.uk/doc/statistical-geography/E14000610,Conservative Party,PP52,24736,
2015-05-07,Burton,E14000610,http://statistics.data.gov.uk/doc/statistical-geography/E14000610,Liberal Democrats,PP90,1232,
2015-05-07,Burton,E14000610,http://statistics.data.gov.uk/doc/statistical-geography/E14000610,Green Party,PP63,1224,
2015-05-07,Burton,E14000610,http://statistics.data.gov.uk/doc/statistical-geography/E14000610,Labour Party,PP53,13484,
