Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Bradford South",E14000588,http://statistics.data.gov.uk/doc/statistical-geography/E14000588,Labour Party,PP53,16328
2015-05-07,"Bradford South",E14000588,http://statistics.data.gov.uk/doc/statistical-geography/E14000588,Conservative Party,PP52,9878
2015-05-07,"Bradford South",E14000588,http://statistics.data.gov.uk/doc/statistical-geography/E14000588,Green Party,PP63,1243
2015-05-07,"Bradford South",E14000588,http://statistics.data.gov.uk/doc/statistical-geography/E14000588,UK Independence Party (UKIP),PP85,9057
2015-05-07,"Bradford South",E14000588,http://statistics.data.gov.uk/doc/statistical-geography/E14000588,Liberal Democrats,PP90,1094
