Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Aylesbury",E14000538,http://statistics.data.gov.uk/doc/statistical-geography/E14000538,UK Independence Party (UKIP),PP85,10925
2015-05-07,"Aylesbury",E14000538,http://statistics.data.gov.uk/doc/statistical-geography/E14000538,Labour Party,PP53,8391
2015-05-07,"Aylesbury",E14000538,http://statistics.data.gov.uk/doc/statistical-geography/E14000538,Liberal Democrats,PP90,5885
2015-05-07,"Aylesbury",E14000538,http://statistics.data.gov.uk/doc/statistical-geography/E14000538,Conservative Party,PP52,28083
2015-05-07,"Aylesbury",E14000538,http://statistics.data.gov.uk/doc/statistical-geography/E14000538,Green Party,PP63,2135
