Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Corby",E14000648,http://statistics.data.gov.uk/doc/statistical-geography/E14000648,Liberal Democrats,PP90,1458,
2015-05-07,"Corby",E14000648,http://statistics.data.gov.uk/doc/statistical-geography/E14000648,Green Party,PP63,1374,
2015-05-07,"Corby",E14000648,http://statistics.data.gov.uk/doc/statistical-geography/E14000648,UK Independence Party (UKIP),PP85,7708,
2015-05-07,"Corby",E14000648,http://statistics.data.gov.uk/doc/statistical-geography/E14000648,Conservative Party,PP52,24023,
2015-05-07,"Corby",E14000648,http://statistics.data.gov.uk/doc/statistical-geography/E14000648,Labour and Co-operative Party,,21611,
