Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"South West Devon",E14000950,http://statistics.data.gov.uk/doc/statistical-geography/E14000950,Liberal Democrats,PP90,3767
2015-05-07,"South West Devon",E14000950,http://statistics.data.gov.uk/doc/statistical-geography/E14000950,UK Independence Party (UKIP),PP85,7306
2015-05-07,"South West Devon",E14000950,http://statistics.data.gov.uk/doc/statistical-geography/E14000950,Green Party,PP63,2408
2015-05-07,"South West Devon",E14000950,http://statistics.data.gov.uk/doc/statistical-geography/E14000950,Labour Party,PP53,8391
2015-05-07,"South West Devon",E14000950,http://statistics.data.gov.uk/doc/statistical-geography/E14000950,Conservative Party,PP52,28500
