Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Bolton West",E14000580,http://statistics.data.gov.uk/doc/statistical-geography/E14000580,Conservative Party,PP52,19744,
2015-05-07,"Bolton West",E14000580,http://statistics.data.gov.uk/doc/statistical-geography/E14000580,Labour Party,PP53,18943,
2015-05-07,"Bolton West",E14000580,http://statistics.data.gov.uk/doc/statistical-geography/E14000580,UK Independence Party (UKIP),PP85,7428,
2015-05-07,"Bolton West",E14000580,http://statistics.data.gov.uk/doc/statistical-geography/E14000580,Liberal Democrats,PP90,1947,
2015-05-07,"Bolton West",E14000580,http://statistics.data.gov.uk/doc/statistical-geography/E14000580,Independent,,321,
2015-05-07,"Bolton West",E14000580,http://statistics.data.gov.uk/doc/statistical-geography/E14000580,Trade Unionist and Socialist Coalition,PP804,209,
