Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Bracknell",E14000586,http://statistics.data.gov.uk/doc/statistical-geography/E14000586,Green Party,PP63,2202,
2015-05-07,"Bracknell",E14000586,http://statistics.data.gov.uk/doc/statistical-geography/E14000586,Conservative Party,PP52,29606,
2015-05-07,"Bracknell",E14000586,http://statistics.data.gov.uk/doc/statistical-geography/E14000586,Liberal Democrats,PP90,3983,
2015-05-07,"Bracknell",E14000586,http://statistics.data.gov.uk/doc/statistical-geography/E14000586,UK Independence Party (UKIP),PP85,8339,
2015-05-07,"Bracknell",E14000586,http://statistics.data.gov.uk/doc/statistical-geography/E14000586,Labour Party,PP53,8956,
