Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"Scarborough and Whitby",E14000913,http://statistics.data.gov.uk/doc/statistical-geography/E14000913,Liberal Democrats,PP90,2159,
2015-05-07,"Scarborough and Whitby",E14000913,http://statistics.data.gov.uk/doc/statistical-geography/E14000913,Alliance For Green Socialism,PP67,207,
2015-05-07,"Scarborough and Whitby",E14000913,http://statistics.data.gov.uk/doc/statistical-geography/E14000913,UK Independence Party (UKIP),PP85,8162,
2015-05-07,"Scarborough and Whitby",E14000913,http://statistics.data.gov.uk/doc/statistical-geography/E14000913,Conservative Party,PP52,20613,
2015-05-07,"Scarborough and Whitby",E14000913,http://statistics.data.gov.uk/doc/statistical-geography/E14000913,Green Party,PP63,2185,
2015-05-07,"Scarborough and Whitby",E14000913,http://statistics.data.gov.uk/doc/statistical-geography/E14000913,Labour Party,PP53,14413,
