Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,"Coatbridge, Chryston and Bellshill",S14000011,http://statistics.data.gov.uk/doc/statistical-geography/S14000011,Scottish National Party (SNP),PP102,
2015-05-07,"Coatbridge, Chryston and Bellshill",S14000011,http://statistics.data.gov.uk/doc/statistical-geography/S14000011,UK Independence Party (UKIP),PP85,
2015-05-07,"Coatbridge, Chryston and Bellshill",S14000011,http://statistics.data.gov.uk/doc/statistical-geography/S14000011,Labour Party,PP53,
2015-05-07,"Coatbridge, Chryston and Bellshill",S14000011,http://statistics.data.gov.uk/doc/statistical-geography/S14000011,Conservative Party,PP52,
2015-05-07,"Coatbridge, Chryston and Bellshill",S14000011,http://statistics.data.gov.uk/doc/statistical-geography/S14000011,Liberal Democrats,PP90,
