Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,Linlithgow and East Falkirk,S14000043,http://statistics.data.gov.uk/doc/statistical-geography/S14000043,Conservative Party,PP52,7384,
2015-05-07,Linlithgow and East Falkirk,S14000043,http://statistics.data.gov.uk/doc/statistical-geography/S14000043,Labour Party,PP53,19121,
2015-05-07,Linlithgow and East Falkirk,S14000043,http://statistics.data.gov.uk/doc/statistical-geography/S14000043,Scottish National Party (SNP),PP102,32055,
2015-05-07,Linlithgow and East Falkirk,S14000043,http://statistics.data.gov.uk/doc/statistical-geography/S14000043,Liberal Democrats,PP90,1252,
2015-05-07,Linlithgow and East Falkirk,S14000043,http://statistics.data.gov.uk/doc/statistical-geography/S14000043,UK Independence Party (UKIP),PP85,1682,
2015-05-07,Linlithgow and East Falkirk,S14000043,http://statistics.data.gov.uk/doc/statistical-geography/S14000043,National Front,PP2707,103,
