Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Sevenoaks",E14000918,http://statistics.data.gov.uk/doc/statistical-geography/E14000918,Green Party,PP63,2238
2015-05-07,"Sevenoaks",E14000918,http://statistics.data.gov.uk/doc/statistical-geography/E14000918,Liberal Democrats,PP90,3937
2015-05-07,"Sevenoaks",E14000918,http://statistics.data.gov.uk/doc/statistical-geography/E14000918,Labour Party,PP53,6448
2015-05-07,"Sevenoaks",E14000918,http://statistics.data.gov.uk/doc/statistical-geography/E14000918,Conservative Party,PP52,28531
2015-05-07,"Sevenoaks",E14000918,http://statistics.data.gov.uk/doc/statistical-geography/E14000918,UK Independence Party (UKIP),PP85,8970
