Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,Ballots Rejected
2015-05-07,Glenrothes,S14000036,http://statistics.data.gov.uk/doc/statistical-geography/S14000036,Scottish National Party (SNP),PP102,28459,
2015-05-07,Glenrothes,S14000036,http://statistics.data.gov.uk/doc/statistical-geography/S14000036,Liberal Democrats,PP90,892,
2015-05-07,Glenrothes,S14000036,http://statistics.data.gov.uk/doc/statistical-geography/S14000036,Conservative Party,PP52,3685,
2015-05-07,Glenrothes,S14000036,http://statistics.data.gov.uk/doc/statistical-geography/S14000036,Labour and Co-operative Party,,14562,
