Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes,
2015-05-07,"East Yorkshire",E14000683,http://statistics.data.gov.uk/doc/statistical-geography/E14000683,Liberal Democrats,PP90,2966,
2015-05-07,"East Yorkshire",E14000683,http://statistics.data.gov.uk/doc/statistical-geography/E14000683,Yorkshire First,PP2120,720,
2015-05-07,"East Yorkshire",E14000683,http://statistics.data.gov.uk/doc/statistical-geography/E14000683,Labour Party,PP53,10343,
2015-05-07,"East Yorkshire",E14000683,http://statistics.data.gov.uk/doc/statistical-geography/E14000683,Conservative Party,PP52,25276,
2015-05-07,"East Yorkshire",E14000683,http://statistics.data.gov.uk/doc/statistical-geography/E14000683,Green Party,PP63,1731,
2015-05-07,"East Yorkshire",E14000683,http://statistics.data.gov.uk/doc/statistical-geography/E14000683,UK Independence Party (UKIP),PP85,8955,
