Poll Date,Constituency,Constituency Code,Constituency URL,Party,Party ID,Votes
2015-05-07,"Wycombe",E14001056,http://statistics.data.gov.uk/doc/statistical-geography/E14001056,Green Party,PP63,3086
2015-05-07,"Wycombe",E14001056,http://statistics.data.gov.uk/doc/statistical-geography/E14001056,Conservative Party,PP52,26444
2015-05-07,"Wycombe",E14001056,http://statistics.data.gov.uk/doc/statistical-geography/E14001056,Independent,,577
2015-05-07,"Wycombe",E14001056,http://statistics.data.gov.uk/doc/statistical-geography/E14001056,Liberal Democrats,PP90,4546
2015-05-07,"Wycombe",E14001056,http://statistics.data.gov.uk/doc/statistical-geography/E14001056,UK Independence Party (UKIP),PP85,5198
2015-05-07,"Wycombe",E14001056,http://statistics.data.gov.uk/doc/statistical-geography/E14001056,Labour Party,PP53,11588
